#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
973e97fa1ee354010735e149a5d1a244	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	
e635c84645de3aaa3583aef605740f5e	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales			
dee9d6695078c96101fb9210fd8e184f	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
6326fa07756fb26f6723202b02e44c3c	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	
bdeb6f25c8727f3f3efca91a5a0638f9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Deefgea	Deefgea_sp.
f1af91770dc06eb38ca0284755f7bd91	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0351ce14359b0fc1ebec970b5d87ffca	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	
9e242fe268cf577ca25675a8300592ce	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
a29edc48b9f22dc65971f45eceb35ed1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	AKYH767	
9fa706b08f5ae7afcd8a4c70b0b2f301	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	
7a7571c09a4f921dfc301fc999d30486	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Nevskia	
3cda9b3f883dd0eb3cbeb23790047ff5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	
d87ffa6639ab51ac8d0565542ef01399	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	
e3bb0b426daf58256092708b6944c0ef	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriales	TC1	uncultured_bacterium
fbb68742aac7d6e4dc1589359e99f1f5	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	
bab4f60f79e467b8731404e55391861e	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	
54d46c738649e2c3b0413ffe95694eab	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales			
7536d24fdd4ad16ad5df99402a17d089	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	
0e9f30a0a29ae758739bff73057bceaa	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	
0d2e31bf35bd1450966761aa3a23691f	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales			
76ffb896b360fe5b04c2105f91f1240c	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales			
a82a25a6050d71cd1ae9b2008942f34d	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Permianibacter	uncultured_bacterium
339fc2aeb5a484f42e85a2955cf43e42	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
ae2cf9893981e037279f1260057d7583	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales			
d467926da7f2f215f1f4e596123aa210	Bacteria	Planctomycetota	vadinHA49	vadinHA49	vadinHA49	vadinHA49	
2bbe1d8a56e646d28139d54fc4137f99	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
06d06e8e424cc966fa23139a5ead125c	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
6932ad0f19a065fea77027c461124475	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_Planctomycetales
b6b0d223380b4e5339f1947c91f7669e	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
e837046aed0a7f5b9dfa1d2c538b1c6f	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	
d81db2037de6df452b7a535c0fcb288e	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales			
311e66a456636fb9b8c47690596e97f4	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales			
5bfdeb99de3a8cb1d949ab074a92d418	Bacteria	Proteobacteria	Gammaproteobacteria				
453f79dd5b37bccf89abd1102b23d2fc	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
010b543d8a17fe5671ad2a7239b0e6f6	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriales	TC1	uncultured_bacterium
3d7ad2f420edc2e75b892eba3c84f2ec	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
063fa3191d82979756ff5d1b02165c43	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
5e2e6cfbea1b3fafe255a80a2a97d738	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17	
60655d4784df8ba40ed9cf261568075f	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
a3db1d2249afa48a7f0e3e7745edcfa8	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus_Hepatincola	Candidatus_Hepatincola	uncultured_bacterium
2cbfc71c89db22b95fe13566fb8deae2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales			
6c7f5b4659637e03083389c5be538717	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	
0ccb1672019883182ec368cfb64fccad	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
e140fd1aad205de6dc13aa41de9b06df	Bacteria	Proteobacteria	Alphaproteobacteria				
baecdec124f5649c59d394bcf225c012	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
e2217a726525725a31145fe76ca10c4c	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	
7640dbee20ee02d2d5edf92d7220ae09	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales			
0a9b5af3a67a9a8cc47eadbb80c0da3c	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales			
64eb2494dbf4892b1fcfc8aae01b7158	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
89d53826559d4701a44358d7ad1c8efc	Bacteria	Bacteroidota	Bacteroidia	Cytophagales			
b12901ac944b4a7307da8e15ca3b068a	Bacteria	Bacteroidota	Bacteroidia				
13843c9252f0dd465baa923e27b7a612	Bacteria	Proteobacteria	Alphaproteobacteria				
dbe1aa8a96fc57367d3dd1ef5e031bd6	Bacteria	Firmicutes	Bacilli				
149c6c7284d3155f3452965ed8aacbc5	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera	
ea791ddf4369d069c9e95302d5f32259	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
