#NAME	Ev13.B	Ev14.B	Ev17a.B	Ev18a.B	Ev18b.B	Ev19b.B	Ev20.B	Ev21a.B	Ev22a.B	Ev24.B	Ev3.B	Ev4.B	Pg19.B	Pg20.B	Pg21.B	Pg22.B	Pg25.B	Pg26.B	Pg29.B	Pg30.B	Pg31.B	Pg32.B	Pg33.B	Pg35.B
d290d5c62dba39b0d37da0e64ce8b8cf	121	243	82	227	40	156	0	57	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
adc7b9c8321ed29d8f7a8b5b359566dd	54	23	45	26	0	39	38	0	20	18	0	0	0	0	0	0	0	0	51	256	155	21	182	0
8597d94844c1f3cf6cd3f41b2175dca9	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	58	317	216	0	27
cb622e9360d8ba3d4119c57bbf0c5305	0	0	0	0	0	0	0	0	0	0	0	0	5	11	14	0	568	266	37	0	0	0	0	0
0b01a2fbb1d1c1cc664317c8181491b9	63	0	34	14	0	12	4	0	0	7	10	23	0	0	0	0	6	0	183	79	116	128	209	12
2c5d370cc57c733ffc671c963cfd9f98	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	330	563	0	0	0	0	0	0
eaed2010025abcfd0b7d43c758104ea1	28	12	0	0	0	27	0	0	0	0	52	0	9	10	20	417	155	161	0	0	0	0	0	0
11e442af86707a9b6dec8ab7e8dfe8b9	74	97	0	142	51	68	0	0	75	91	97	176	0	0	0	0	16	0	0	0	0	0	0	0
024f71ca4ef076114fafd8623e360a54	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	41	85	143	0	143	146	21	287
f047effd19582af343d7ab5445867999	89	66	64	267	0	194	130	60	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
4e730471024cb590999e1bda15315c29	35	0	0	0	32	0	0	25	104	109	0	17	0	0	0	0	0	0	69	398	0	0	41	28
24903a63ac722c93e3d3e0f3b03df868	0	0	87	0	0	0	0	21	13	0	0	0	26	32	25	10	144	173	0	18	105	0	0	193
7e869bb4eafe5a616a3647e196498b8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	311	91	144	0	115
a99b6e8a817d3f65e0327374e7c185e4	0	21	0	0	0	0	0	13	207	277	0	0	0	0	0	0	0	10	51	0	74	151	0	34
bddecf1ba0c3296278f29c6492d463aa	0	71	30	175	0	51	0	0	68	47	274	117	0	0	0	1	0	0	0	0	0	0	0	0
419725c05348952bab32fb8f493a06a1	103	54	0	83	0	95	0	0	54	45	200	182	0	0	0	0	0	16	0	0	0	0	0	0
270df3241f57409cc311b403bc78d6f5	31	33	0	30	0	0	0	0	31	0	0	18	0	0	0	0	0	0	173	81	239	120	33	43
9fffa38f31c67e8f25e7795c4c2878cc	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7	0	81	127	78	72	312	65	73	0
23f18fb60f6b7af0979896dba65e7f2b	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	386	424	0	0	0	0	0	5
