# Constructed from biom file																																																																																				
#OTU ID	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	taxonomy
2f6901818cf2f5300522086797fc3110	79	351	193	97	137	287	228	590	90	549	80296	51666	190583	74905	15751	40500	50462	17650	50764	4649	12864	6576	1853	464	1573	1817	1147	3264	118	217	277	365	506	0	151	298	600	671	421	441	301	425	267	296	262963	5452	362	417	221444	204626	17448	1774	2876	76715	1677	23118	726	3	746	0	8	0	18	3273	315	154	233	25	109	0	37	0	139	0	0	28	41	42	43	294	110	10	36	d__Bacteria; p__Firmicutes; c__Bacilli; o__Exiguobacterales; f__Exiguobacteraceae; g__Exiguobacterium
dabb6a0752ca84746e3e482925d7555f	0	0	0	15	0	13	0	0	7	75	471	455	10	0	20	727	1248	522	0	11	0	0	15	10	0	0	38	17	1800	0	0	36	0	18	10	0	0	4	0	0	780	0	0	0	0	46	0	40	0	0	18	0	642	0	0	0	0	0	0	0	0	0	9	0	496	0	0	0	0	0	0	1213	1631	0	2942	3034	1352073	6235	2582	1593	1497	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas
1b5f9674b655fe653427143086657e90	20	0	181	16	21	0	0	10	34	0	28	387	1839	748	474	2440	113621	27052	11458	53771	18984	273750	16583	29591	171409	353206	38164	18390	645	736	709	0	958	32235	907	3978	4023	680	6096	0	84	26	0	48	34	0	58	7	94	201	36	32	57	34	14	34	23	41	24	353	67	75	139	175	147	1408	104	379	1385	102206	23037	36	986	80	577	907	272	170	20	734	12839	92	31	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae
60d5bfc2360cacbb5e7945eea0faf0fe	0	15	0	29	0	0	0	0	163	0	2147	4437	3730	1320	1178	4617	196757	330707	113156	245161	271781	68719	1607	3426	1023	0	362	0	407	635	294	0	598	148	45	20	23	0	0	0	186	2650	0	224	285	0	0	0	17	0	42	0	122	400	78	168	202	0	0	0	10	0	0	40	236	207	79	148	187	45	49	13	57	0	39	0	143	206	101	2884	7403	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
9a49b51d9e1b48c4318ef6b4c6864862	68	35	89	0	0	32	15	34	0	32	118	159	613	180	0	0	0	0	7	6	0	182	286	681	1483	808	488	520	388	1386	2316	31	1163	137155	208892	118245	537356	147823	30715	43	829	1073	29	1257	1041	40	1197	30	446	183	51	81	49	62	68	59	58	0	223	111	0	0	0	0	52	0	0	0	302	99	531	69	294	0	0	0	81	0	18	2090	850	25	78	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales
fba63f703f57ef60b25cc949a39d912a	100	136	0	0	173	106	80	161	38	121	16062	26717	23069	226	263	42745	6114	67566	3222	7476	8134	3755	343	162553	14762	564	4538	10287	316	461	1014	146	328	178	324	232	75	62	202	168	60	127	104	54	30817	107	76	136	3541	196	2968	137796	783	2599	3316	718	222	303	360	2669	397	315	969	47900	18813	6399	446856	868	579	409	10287	73	57	490	30	141	35	67	208	3021	48	403	53	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas
e98cbe28e00f10f9bcedeaa4d5f5cbd6	69	117	34	46	131	110	72	178	27	97	14173	38074	14246	208	188	36849	5602	50802	2466	5803	6786	4829	484	132129	11880	375	3791	7961	241	360	903	116	276	160	251	199	85	62	178	142	58	89	76	53	31350	90	70	139	1470	377	1782	128242	659	2543	3354	418	224	255	291	5120	288	277	772	37734	15313	5280	396213	727	499	347	546	78	0	428	0	110	18	31	185	3562	30	327	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas
25fcf3d91e59d3e115f7bb09c8b846bd	113	69	344	617	837	7	0	0	199	0	172	17	12	393	794	1127	853	2414	4096	149	338	847	17	32	0	855	1331	1755	1300	4045	8852	0	613	1415	623	588	392	392298	83	0	1066	2437	0	626	885	0	507	0	27	245	464	558	475	1406	4491	78	328	0	12	8	54	0	335	468	383	1086	2288	64	189	373	14	325	318	0	337243	1456	31896	2620	3097	571	539	0	0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1
74db78f40813c5b3ffb7c63dcc265522	29	0	0	0	0	0	0	18	10	6	1630	2656	8078	528	528	13227	1725	580510	1060	1515	1805	4114	716	28957	3389	164	3895	1122	66	933	93	6	62	39	51	35	23	0	0	0	15	403	0	0	2299	0	10	11	797	143	1456	0	0	307	3079	68	12	37	10	2703	35	0	12927	2915	7389	8208	12222	139	50	44	54	14	0	35	17	0	0	287	20	708	0	35	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas
4ffb930cfe83b8cdb1468840d9ed35bc	17	0	189	41	58	0	4	0	0	0	509	73	136	470	127	245	1538	1466	1044	795	65	4054	57505	25531	61944	368839	49554	72400	537	640	642	0	671	418	708	25	57	356	0	0	0	0	0	0	97	0	57	0	46	308	33	56	0	0	812	0	0	764	30	19	432	1101	572	362	933	899	2182	748	9	12	36	20	32	0	21	47	0	0	0	0	0	0	22	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae
