#NAME,SRR17045222,SRR17045223,SRR17045226,SRR17045227
ASV_10512,0,0,3,1
ASV_10513,0,0,3,0
ASV_10514,0,0,9,2
ASV_10515,0,0,6,0
ASV_10516,0,0,6,0
ASV_10517,0,0,5,0
ASV_10518,0,0,5,0
ASV_10519,0,0,6,0
ASV_1052,30,0,0,0
ASV_10520,0,0,3,0
ASV_10521,1,0,10,0
ASV_10522,0,0,5,0
ASV_10523,0,0,5,0
ASV_10524,0,0,4,0
ASV_10525,0,0,4,0
ASV_10526,0,0,4,0
ASV_10527,0,0,3,0
ASV_10528,0,0,3,0
ASV_10529,0,0,10,1
ASV_1053,28,0,0,0
ASV_10530,0,0,3,0
ASV_10531,0,0,5,0
ASV_10532,0,0,3,0
ASV_10533,0,0,3,0
ASV_10534,0,0,3,0
ASV_10535,0,0,4,0
ASV_10536,0,0,7,0
ASV_10537,9,0,3,0
ASV_10538,0,0,6,0
ASV_10539,0,0,9,0
ASV_1054,34,0,0,0
ASV_10540,0,2,8,0
ASV_10541,0,1,6,0
ASV_10542,0,0,6,0
ASV_10543,0,0,4,0
ASV_10544,0,0,5,0
ASV_10545,0,0,3,0
ASV_10547,0,0,4,0
ASV_10548,0,0,5,0
ASV_10549,0,0,5,0
ASV_1055,25,0,0,0
ASV_10550,0,0,3,0
ASV_10551,0,0,5,0
ASV_10552,0,0,3,0
ASV_10553,0,1,3,0
ASV_10554,0,0,8,7
ASV_10555,0,0,5,0
ASV_10556,0,0,6,0
ASV_10557,0,0,5,0
ASV_10558,0,0,5,1
ASV_10559,0,0,4,0
ASV_1056,27,0,0,0
ASV_10560,0,0,3,0
ASV_10561,0,0,4,0
ASV_10562,0,0,3,0
ASV_10563,0,0,3,0
ASV_10564,0,0,6,1
ASV_10565,0,0,3,0
ASV_10566,0,0,5,0
ASV_10567,0,0,10,0
ASV_10568,0,1,7,1
ASV_10569,0,0,3,0
ASV_1057,25,0,0,0
ASV_10570,0,1,7,1
ASV_10571,0,0,3,0
ASV_10572,0,0,5,0
ASV_10573,0,0,4,0
ASV_10574,0,0,3,0
ASV_10575,0,0,6,0
ASV_10576,0,1,13,0
ASV_10577,0,0,3,0
ASV_10578,0,0,6,0
ASV_10579,1,1,5,0
ASV_1058,30,0,0,0
ASV_10580,0,0,9,0
ASV_10581,0,0,4,0
ASV_10582,0,0,8,1
ASV_10583,0,0,7,0
ASV_10584,0,0,3,0
ASV_10585,0,0,3,0
ASV_10586,0,0,5,0
ASV_10587,0,0,4,0
ASV_10588,0,0,4,0
ASV_10589,0,1,5,0
ASV_1059,26,0,0,0
ASV_10590,0,0,3,0
ASV_10591,0,0,5,0
ASV_10592,0,0,4,0
ASV_10593,0,0,4,0
ASV_10594,0,0,6,0
ASV_10595,0,0,5,2
ASV_10596,0,0,5,0
ASV_10597,0,0,4,0
ASV_10598,0,0,4,0
ASV_10599,1,0,5,0
ASV_106,137,0,0,0
ASV_1060,29,0,0,0
ASV_10600,2,0,3,0
ASV_10601,0,2,5,2
ASV_10602,0,0,4,0
ASV_10603,0,0,4,0
ASV_10604,0,0,3,0
ASV_10605,0,0,3,0
ASV_10606,0,0,5,0
ASV_10607,2,0,7,0
ASV_10608,0,0,7,0
ASV_10609,0,0,3,1
ASV_1061,29,0,0,0
ASV_10610,0,0,4,1
ASV_10611,0,0,5,0
ASV_10612,1,0,3,0
ASV_10613,0,1,5,0
ASV_10614,0,0,5,0
ASV_10615,0,1,5,0
ASV_10616,1,0,3,0
ASV_10617,0,0,5,0
ASV_10618,0,0,3,0
ASV_10619,1,0,4,0
ASV_1062,26,0,0,0
ASV_10620,0,0,3,0
ASV_10621,1,0,3,0
ASV_10622,1,0,5,0
ASV_10623,0,0,0,8
ASV_10624,0,1,0,6
ASV_10625,0,0,0,5
ASV_10626,0,0,0,4
ASV_10627,0,1,0,9
ASV_10628,1,0,1,9
ASV_10629,0,0,0,4
ASV_1063,30,0,0,0
ASV_10630,0,0,0,5
ASV_10631,0,0,0,3
ASV_10632,0,0,0,4
ASV_10633,0,0,0,4
ASV_10634,0,0,0,7
ASV_10635,0,0,0,5
ASV_10636,0,0,0,4
ASV_10637,0,0,0,5
ASV_10638,0,0,0,5
ASV_1064,27,0,0,0
ASV_10640,0,0,0,4
ASV_10641,0,0,0,3
ASV_10642,0,0,0,3
ASV_10643,0,0,0,3
ASV_10644,0,0,0,6
ASV_10645,0,0,0,3
ASV_10646,0,0,0,5
ASV_10647,0,0,0,6
ASV_10648,0,0,0,6
ASV_10649,1,3,1,6
ASV_1065,31,0,0,0
ASV_10650,0,0,0,4
ASV_10651,0,0,0,4
ASV_10652,0,0,0,3
ASV_10653,0,0,0,6
ASV_10654,0,0,0,4
ASV_10655,0,0,0,6
ASV_10656,0,0,0,8
ASV_10657,0,0,0,4
ASV_10658,0,0,0,3
ASV_10659,0,0,0,5
ASV_1066,0,28,0,0
ASV_10660,1,0,0,4
ASV_10661,0,3,0,6
ASV_10662,0,0,0,5
ASV_10663,0,0,0,3
ASV_10664,0,0,0,5
ASV_10665,0,1,0,8
ASV_10666,0,0,0,3
ASV_10668,0,0,1,3
ASV_10669,0,0,0,6
ASV_1067,0,29,0,0
ASV_10670,0,0,0,5
ASV_10671,0,0,0,3
ASV_10672,0,0,0,3
ASV_10673,0,0,0,4
ASV_10674,0,0,0,3
ASV_10675,0,0,0,6
ASV_10676,0,0,1,4
ASV_10677,0,5,0,4
ASV_10678,1,0,0,5
ASV_10679,0,0,3,4
ASV_1068,0,26,0,0
ASV_10680,0,0,0,5
ASV_10681,0,0,0,4
ASV_10682,0,0,0,9
ASV_10683,0,1,1,5
ASV_10684,0,1,0,5
ASV_10685,0,0,0,5
ASV_10686,0,0,0,4
ASV_10687,0,0,0,4
ASV_10688,0,0,0,3
ASV_10689,0,0,0,8
ASV_1069,0,26,0,0
ASV_10690,0,0,0,5
ASV_10691,0,0,0,3
ASV_10692,0,0,0,4
ASV_10693,1,1,0,4
ASV_10694,0,0,0,6
ASV_10695,0,0,0,4
ASV_10696,0,0,0,5
ASV_10697,0,0,0,4
ASV_10698,0,1,0,3
ASV_10699,0,0,0,4
ASV_107,147,0,0,0
ASV_1070,0,29,0,0
ASV_10700,0,0,0,4
ASV_10701,0,0,0,6
ASV_10702,0,0,0,6
ASV_10703,0,0,0,3
ASV_10704,0,0,1,3
ASV_10706,0,0,0,6
ASV_10707,0,0,0,5
ASV_10708,0,0,0,8
ASV_10709,0,0,0,5
ASV_1071,0,26,0,0
ASV_10710,0,0,0,5
ASV_10711,0,0,0,5
ASV_10712,0,0,0,4
ASV_10713,0,0,0,3
ASV_10714,0,0,0,4
ASV_10715,0,0,0,5
ASV_10716,0,0,0,7
ASV_10717,0,0,0,3
ASV_10718,0,0,0,8
ASV_10719,0,0,0,8
ASV_1072,0,28,0,0
ASV_10720,0,0,0,5
ASV_10721,0,0,1,5
ASV_10722,0,0,0,3
ASV_10723,0,0,1,4
ASV_10724,0,0,0,4
ASV_10725,0,0,0,5
ASV_10726,0,0,0,6
ASV_10727,0,0,0,5
ASV_10728,0,1,3,3
